Test Well,Transposon Coordinates,Gene Name
A01,2335131,yeaB
A02,2663617,fadE2
A03,-1,Blank
A04,-1,Blank
A05,793227,gcvH
A06,1697261,SO_1615
A07,499495,sirH
A08,813228,SO_0799
A09,-1,Blank
A10,3404730,SO_3267
A11,3125995,int
A12,-1,Blank
B01,483277,SO_0456
B02,4840867,SO_4812
B03,1844897,SO_1766
B04,444958,SO_0427
B05,3096355,SO_2961
B06,2082650,SO_1978
B07,-1,Blank
B08,5086550,SO_A0132
B09,-1,Blank
B10,2371997,SO_2256
B11,2532631,SO_2424
B12,-1,Blank
C01,1635935,phoR
C02,91746,SO_0077
C03,2685112,SO_2553
C04,4556390,SO_4360
C05,-1,Blank
C06,4761311,tonB
C07,5047544,SO_A0099
C08,1394040,nhaA
C09,2153072,SO_2053
C10,-1,Blank
C11,351291,prpC
C12,-1,Blank
D01,4528948,SO_4337
D02,1661832,SO_1585
D03,1489762,dmsF
D04,816922,SO_0804
D05,-1,Blank
D06,1204289,lipA
D07,-1,Blank
D08,397293,hsdM
D09,-1,Blank
D10,2347003,hrpA
D11,-1,Blank
D12,-1,Blank
E01,3626831,SO_3479
E02,295545,damX
E03,2454517,SO_2346
E04,498728,SO_0474
E05,2646683,SO_2520
E06,3800850,SO_3642
E07,-1,Blank
E08,-1,Blank
E09,-1,Blank
E10,1541214,SO_1478
E11,-1,Blank
E12,1167851,SO_1125
F01,4186157,uvrA
F02,4655881,SO_4466
F03,-1,Blank
F04,2065185,SO_1959
F05,3375063,fliD
F06,4842619,SO_4646
F07,4664760,cpxP
F08,4110789,SO_3973
F09,-1,Blank
F10,-1,Blank
F11,-1,Blank
F12,-1,Blank
G01,1696359,SO_1614
G02,1342615,SO_1292
G03,69768,SO_0063
G04,-1,Blank
G05,1897092,pspF
G06,2993242,arsC
G07,2908907,rne
G08,-1,Blank
G09,3173007,SO_3059
G10,3335157,rfaH
G11,1384542,hptA
G12,-1,Blank
H01,2795262,SO_2663
H02,-1,Blank
H03,-1,Blank
H04,-1,Blank
H05,4672902,shp
H06,-1,Blank
H07,-1,Blank
H08,4897048,torF
H09,3494393,SO_3349
H10,403634,SO_0389
H11,-1,Blank
H12,-1,Blank
